ID_match,number_of_turn,last_move_played_by,current_player_turn,wQ_moves,wS1_moves,wB1_moves,wG1_moves,wA1_moves,wS2_moves,wB2_moves,wG2_moves,wA2_moves,wG3_moves,wA3_moves,bQ_moves,bS1_moves,bB1_moves,bG1_moves,bA1_moves,bS2_moves,bB2_moves,bG2_moves,bA2_moves,bG3_moves,bA3_moves,result
1737482947,1,White,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White
1737482947,2,Black,White,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,White
1737482947,3,White,Black,0,0,0,0,9,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,White
1737482947,4,Black,White,0,0,0,0,11,0,0,0,9,0,0,0,2,6,0,0,0,0,0,0,0,0,White
1737482947,5,White,Black,0,0,0,0,13,0,0,0,13,0,11,0,2,6,0,0,0,0,0,0,0,0,White
1737482947,6,Black,White,0,0,0,0,15,0,0,0,15,0,13,2,2,6,0,0,0,0,0,0,0,0,White
1737482947,7,White,Black,2,0,0,0,17,0,0,0,17,0,17,2,2,6,0,0,0,0,0,0,0,0,White
1737482947,8,Black,White,2,0,0,0,18,0,0,0,18,0,18,2,2,6,2,0,0,0,0,0,0,0,White
1737482947,9,White,Black,2,0,0,1,18,0,0,0,18,0,0,2,2,6,2,0,0,0,0,0,0,0,White
1737482947,10,Black,White,2,0,0,1,18,0,0,0,18,0,0,2,2,5,1,0,0,0,0,0,0,0,White
1737482947,11,White,Black,2,0,5,1,18,0,0,0,19,0,0,2,2,5,1,0,0,0,0,0,0,0,White
1737482947,12,Black,White,2,0,5,1,20,0,0,0,21,0,0,2,2,5,2,0,2,0,0,0,0,0,White
1737482947,13,White,Black,2,0,5,1,22,0,0,1,23,0,0,2,2,5,2,0,2,0,0,0,0,0,White
1737482947,14,Black,White,2,0,5,1,24,0,0,1,25,0,0,2,2,5,2,0,3,0,1,0,0,0,White
1737482947,15,White,Black,2,2,5,1,26,0,0,2,27,0,0,2,2,5,2,0,3,0,1,0,0,0,White
1737482947,16,Black,White,2,2,5,1,28,0,0,2,29,0,0,2,2,5,2,0,4,0,2,0,1,0,White
1737482947,17,White,Black,2,2,6,1,29,2,0,2,0,0,0,2,2,5,2,0,4,0,2,0,1,0,White
1737482947,18,Black,White,2,2,6,1,30,2,0,2,0,0,0,2,2,5,2,29,2,0,3,0,1,0,White
1737482947,19,White,Black,2,2,6,1,31,2,0,3,0,2,0,2,2,5,2,30,2,0,3,0,1,0,White
1737482947,20,Black,White,2,2,6,1,32,2,0,3,0,2,0,2,2,5,2,31,2,4,4,0,2,0,White
