ID_match,number_of_turn,last_move_played_by,current_player_turn,wQ_moves,wS1_moves,wB1_moves,wG1_moves,wA1_moves,wS2_moves,wB2_moves,wG2_moves,wA2_moves,wG3_moves,wA3_moves,bQ_moves,bS1_moves,bB1_moves,bG1_moves,bA1_moves,bS2_moves,bB2_moves,bG2_moves,bA2_moves,bG3_moves,bA3_moves,result
1737482941,52,Black,White,0,2,5,1,0,2,4,3,33,1,34,0,4,4,1,0,1,6,2,0,2,33,Black
1737482941,53,White,Black,0,2,5,1,0,2,4,3,33,1,36,0,4,3,1,0,1,6,2,0,2,35,Black
1737482941,54,Black,White,0,2,5,1,0,2,4,3,32,1,33,0,3,4,1,33,1,6,2,0,2,32,Black
1737482941,55,White,Black,0,2,5,1,0,2,4,3,32,1,0,0,3,4,1,34,1,6,2,0,2,33,Black
1737482941,56,Black,White,0,2,5,1,0,2,4,3,33,1,0,0,4,3,1,0,1,6,2,0,2,34,Black
1737482941,57,White,Black,0,2,5,1,0,2,4,3,33,1,35,0,4,3,1,0,1,6,2,0,3,34,Black
1737482941,58,Black,White,0,2,5,1,0,2,4,3,31,1,33,0,4,6,1,32,1,6,2,0,3,32,Black
1737482941,59,White,Black,0,2,5,1,0,2,4,3,31,1,34,0,4,6,1,33,1,6,2,0,2,33,Black
1737482941,60,Black,White,0,2,5,1,0,2,4,3,31,1,34,0,4,6,1,33,1,6,2,0,2,33,Black
1737482941,61,White,Black,0,2,5,1,0,2,4,3,31,1,0,0,4,6,1,32,1,6,2,0,2,32,Black
1737482941,62,Black,White,0,2,5,1,0,2,4,3,29,1,0,0,2,6,2,30,1,6,2,0,2,30,Black
1737482941,63,White,Black,0,2,5,2,0,2,4,3,29,1,27,0,2,6,2,26,1,6,2,0,2,26,Black
1737482941,64,Black,White,0,2,5,2,0,2,4,3,33,1,29,2,2,5,2,26,1,6,2,0,2,28,Black
1737482941,65,White,Black,2,2,6,2,0,2,4,3,35,1,31,2,2,5,2,28,1,6,2,0,2,30,Black
1737482941,66,Black,White,2,2,6,2,0,2,4,3,32,1,30,2,2,5,2,28,1,6,2,0,2,29,Black
1737482941,67,White,Black,2,2,6,1,0,2,4,3,31,1,30,2,2,5,3,28,2,6,2,0,2,29,Black
1737482941,68,Black,White,2,2,6,1,0,2,4,3,30,1,29,2,2,5,3,28,2,6,2,0,2,28,Black
1737482941,69,White,Black,2,2,6,1,0,2,4,3,31,1,33,2,2,5,2,32,1,5,2,0,2,33,Black
1737482941,70,Black,White,2,2,6,2,0,2,4,3,27,1,29,2,2,5,2,32,3,5,2,0,2,29,Black
1737482941,71,White,Black,0,2,6,2,0,2,4,3,27,1,26,2,2,5,2,29,3,6,2,0,2,25,Black
1737482941,72,Black,White,0,2,6,2,0,2,4,3,27,1,0,2,2,5,2,29,3,3,1,0,2,25,Black
1737482941,73,White,Black,2,2,6,2,0,2,4,3,27,1,28,2,2,5,2,31,3,3,1,0,2,28,Black
1737482941,74,Black,White,2,2,6,2,0,2,4,3,29,2,31,2,2,5,2,34,3,3,1,0,2,28,Black
1737482941,75,White,Black,2,2,6,2,0,2,4,3,29,2,31,2,2,5,2,3,1,3,1,0,2,28,Black
1737482941,76,Black,White,2,2,6,2,0,2,4,3,30,2,32,2,2,5,3,3,0,5,1,0,2,29,Black
1737482941,77,White,Black,2,2,6,2,0,2,4,3,30,2,29,2,2,5,3,3,0,5,1,0,2,29,Black
1737482941,78,Black,White,2,2,6,2,0,2,4,3,30,2,29,2,2,5,3,3,0,5,1,0,2,29,Black
1737482941,79,White,Black,2,0,6,2,0,2,4,3,30,2,28,2,2,5,3,34,2,5,1,0,2,28,Black
1737482941,80,Black,White,0,0,6,2,0,2,4,3,26,1,25,2,2,5,3,30,2,5,1,0,2,28,Black
1737482941,81,White,Black,0,2,6,2,0,2,4,3,26,1,26,2,2,5,3,31,0,5,1,0,3,29,Black
1737482941,82,Black,White,0,2,6,2,0,2,4,3,27,1,27,2,2,5,2,32,3,6,1,0,2,30,Black
1737482941,83,White,Black,0,2,6,2,0,1,4,3,27,1,28,2,2,5,2,31,4,6,1,0,1,29,Black
1737482941,84,Black,White,0,2,6,2,0,1,4,3,27,1,28,2,2,5,2,31,4,6,1,0,1,29,Black
1737482941,85,White,Black,0,2,6,2,0,1,4,3,27,1,28,2,2,5,2,31,4,6,1,0,1,29,Black
1737482941,86,Black,White,0,2,6,2,0,1,4,3,29,1,30,2,2,5,2,33,5,3,1,0,2,31,Black
1737482941,87,White,Black,0,2,4,2,0,2,4,3,29,1,30,2,2,5,2,33,5,3,1,0,2,31,Black
1737482941,88,Black,White,0,0,4,2,0,2,4,3,33,1,34,4,2,4,3,34,4,3,1,0,2,35,Black
1737482941,89,White,Black,0,0,6,2,0,1,4,3,33,1,34,4,2,4,3,34,4,3,1,0,2,35,Black
1737482941,90,Black,White,2,0,6,3,0,1,5,4,34,1,34,4,2,4,3,35,4,3,1,0,2,35,Black
1737482941,91,White,Black,2,0,6,3,0,2,5,4,34,2,34,4,2,4,3,37,4,3,1,0,2,37,Black
1737482941,92,Black,White,2,0,6,2,0,2,4,3,35,2,35,4,2,4,4,38,4,3,1,0,2,37,Black
1737482941,93,White,Black,2,0,6,2,0,2,4,3,34,2,33,4,2,4,4,34,4,3,1,0,2,33,Black
1737482941,94,Black,White,2,0,6,2,0,2,4,3,34,2,34,4,2,4,4,34,4,3,1,0,2,32,Black
1737482941,95,White,Black,2,0,6,2,0,2,4,3,34,2,34,4,1,4,3,35,4,3,1,35,2,35,Black
1737482941,96,Black,White,2,0,6,2,0,2,4,3,37,2,37,4,1,4,2,38,4,4,1,35,2,38,Black
1737482941,97,White,Black,2,0,6,2,0,2,4,3,38,2,37,2,2,4,2,39,4,4,2,36,2,37,Black
1737482941,98,Black,White,2,2,6,2,0,2,4,3,39,2,38,2,2,4,2,40,4,4,2,40,2,37,Black
1737482941,99,White,Black,2,2,6,2,0,2,4,3,35,2,37,4,2,4,2,36,2,4,1,36,2,33,Black
