ID_match,number_of_turn,last_move_played_by,current_player_turn,wQ_moves,wS1_moves,wB1_moves,wG1_moves,wA1_moves,wS2_moves,wB2_moves,wG2_moves,wA2_moves,wG3_moves,wA3_moves,bQ_moves,bS1_moves,bB1_moves,bG1_moves,bA1_moves,bS2_moves,bB2_moves,bG2_moves,bA2_moves,bG3_moves,bA3_moves,result
1737482875,1,White,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black
1737482875,2,Black,White,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Black
1737482875,3,White,Black,0,0,4,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Black
1737482875,4,Black,White,0,0,4,0,9,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,Black
1737482875,5,White,Black,0,0,3,1,11,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,Black
1737482875,6,Black,White,0,0,3,1,13,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,Black
1737482875,7,White,Black,2,0,3,1,18,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,Black
1737482875,8,Black,White,2,0,3,1,19,0,0,0,0,0,0,2,2,4,3,0,0,0,0,0,0,0,Black
1737482875,9,White,Black,4,0,3,1,21,0,0,1,0,0,0,2,2,4,3,0,0,0,0,0,0,0,Black
1737482875,10,Black,White,4,0,3,1,22,0,0,1,0,0,0,2,2,4,3,0,2,0,0,0,0,0,Black
1737482875,11,White,Black,4,1,3,2,22,0,0,1,0,0,0,2,2,4,3,0,2,0,0,0,0,0,Black
1737482875,12,Black,White,4,1,3,2,23,0,0,1,0,0,0,2,2,4,3,0,2,0,2,0,0,0,Black
1737482875,13,White,Black,2,1,3,2,24,0,0,1,22,0,0,2,2,4,3,0,2,0,2,0,0,0,Black
1737482875,14,Black,White,2,1,3,2,25,0,0,1,23,0,0,2,2,4,3,0,2,0,3,0,2,0,Black
1737482875,15,White,Black,2,1,3,2,27,0,0,2,25,1,0,2,2,4,3,0,2,0,3,0,2,0,Black
1737482875,16,Black,White,2,1,3,2,29,0,0,2,27,1,0,2,2,4,3,0,2,3,3,0,3,0,Black
1737482875,17,White,Black,4,1,3,2,29,0,0,3,27,2,0,2,2,4,3,0,2,3,3,0,3,0,Black
1737482875,18,Black,White,4,1,3,2,29,0,0,3,27,2,0,2,2,4,3,28,2,4,4,0,4,0,Black
1737482875,19,White,Black,2,1,3,2,29,0,5,4,28,2,0,2,2,4,3,28,2,4,4,0,4,0,Black
1737482875,20,Black,White,2,1,3,2,31,0,5,4,30,2,0,2,2,3,3,30,2,4,4,28,4,0,Black
1737482875,21,White,Black,0,1,3,2,30,0,4,3,30,1,0,2,2,3,3,29,2,4,4,29,4,0,Black
1737482875,22,Black,White,0,1,3,2,31,0,4,3,29,1,0,2,2,4,3,31,2,4,5,29,4,0,Black
1737482875,23,White,Black,2,1,3,2,32,0,4,3,29,2,0,2,2,4,3,32,2,4,5,30,4,0,Black
1737482875,24,Black,White,2,1,3,2,33,0,4,3,30,3,0,2,2,4,3,32,2,4,4,30,4,0,Black
1737482875,25,White,Black,2,1,3,2,35,2,4,3,34,3,0,2,2,4,3,34,2,4,4,32,4,0,Black
1737482875,26,Black,White,2,1,3,2,36,2,4,3,35,3,0,2,2,4,3,36,2,4,5,33,4,34,Black
1737482875,27,White,Black,2,1,3,3,37,2,4,3,36,3,35,2,2,4,3,37,2,4,5,34,4,35,Black
1737482875,28,Black,White,2,1,3,3,40,2,4,3,39,3,38,2,2,4,3,40,2,5,4,37,3,38,Black
1737482875,29,White,Black,2,2,3,2,38,2,4,3,37,3,38,2,2,4,4,38,2,5,4,35,3,36,Black
1737482875,30,Black,White,2,2,3,2,39,2,4,3,38,3,39,2,2,4,4,38,2,5,3,36,3,36,Black
1737482875,31,White,Black,2,1,3,2,40,2,4,3,40,4,39,2,2,4,3,39,2,5,3,38,3,37,Black
1737482875,32,Black,White,2,1,3,2,39,2,4,3,39,4,38,2,2,4,3,39,2,5,4,37,3,37,Black
1737482875,33,White,Black,2,1,3,2,39,2,4,3,38,3,38,2,0,4,3,39,2,5,5,36,3,38,Black
1737482875,34,Black,White,2,1,3,2,38,2,4,3,37,3,37,2,0,5,4,37,2,5,4,35,3,38,Black
1737482875,35,White,Black,2,1,3,2,40,2,4,3,39,3,37,2,0,5,4,39,2,5,3,37,3,39,Black
1737482875,36,Black,White,2,1,3,2,39,2,4,3,38,3,36,2,0,5,3,38,2,5,4,36,4,38,Black
1737482875,37,White,Black,2,1,4,3,37,2,4,3,36,3,36,2,0,5,3,36,2,5,4,34,4,36,Black
1737482875,38,Black,White,2,2,4,3,35,2,4,3,34,2,34,2,0,5,4,34,2,5,4,34,4,34,Black
1737482875,39,White,Black,2,2,4,3,34,2,5,2,33,2,34,2,0,5,4,33,2,5,4,33,4,33,Black
1737482875,40,Black,White,2,2,4,3,36,2,5,2,35,3,36,2,0,5,4,33,2,4,3,35,3,35,Black
1737482875,41,White,Black,2,2,5,3,36,3,4,2,38,3,39,2,0,5,4,36,2,4,3,38,3,38,Black
1737482875,42,Black,White,2,2,4,3,35,3,5,2,37,3,38,2,2,4,3,35,2,4,3,37,3,38,Black
1737482875,43,White,Black,2,2,3,2,36,3,5,3,38,3,38,2,2,4,3,36,2,4,3,38,3,39,Black
1737482875,44,Black,White,2,1,3,2,37,3,6,3,39,3,40,2,2,4,2,37,2,4,3,38,3,40,Black
1737482875,45,White,Black,0,1,3,2,37,3,5,3,39,3,40,2,2,4,2,37,2,4,3,37,3,40,Black
1737482875,46,Black,White,0,1,3,2,35,3,4,3,38,4,38,2,2,4,2,36,2,4,3,37,3,38,Black
1737482875,47,White,Black,2,1,3,2,38,3,4,2,41,4,38,2,2,4,2,41,2,4,3,40,3,41,Black
1737482875,48,Black,White,2,1,4,3,37,3,5,2,39,3,37,2,2,4,2,40,2,4,3,40,3,40,Black
1737482875,49,White,Black,2,1,4,3,37,2,4,2,39,3,37,2,2,4,2,40,2,4,3,40,3,40,Black
1737482875,50,Black,White,0,1,5,3,38,2,3,2,40,3,38,2,2,4,2,41,2,4,3,41,3,40,Black
1737482875,51,White,Black,0,1,5,3,37,2,3,2,40,3,38,2,2,4,2,37,2,4,3,40,3,39,Black
1737482875,52,Black,White,2,1,5,3,37,2,4,3,39,3,37,2,2,4,2,36,2,4,3,39,3,39,Black
1737482875,53,White,Black,2,1,5,3,37,2,5,3,40,3,38,2,2,4,2,37,2,4,3,40,3,39,Black
1737482875,54,Black,White,2,1,5,3,37,2,4,3,40,4,38,2,2,4,2,38,2,4,3,40,3,39,Black
1737482875,55,White,Black,2,1,5,3,38,2,4,3,40,4,38,2,2,4,2,39,2,4,3,41,3,40,Black
1737482875,56,Black,White,2,1,5,3,37,2,4,3,39,3,37,2,2,4,2,39,2,4,3,40,3,40,Black
1737482875,57,White,Black,2,1,5,3,37,2,4,3,39,3,39,2,2,4,2,39,2,4,3,40,3,40,Black
1737482875,58,Black,White,2,1,5,3,37,2,4,3,39,3,39,2,2,4,2,39,2,5,3,40,4,38,Black
1737482875,59,White,Black,2,1,5,3,37,2,4,3,39,3,37,2,2,4,2,39,2,4,3,40,4,38,Black
1737482875,60,Black,White,2,1,5,3,41,2,4,3,41,3,39,2,2,4,2,39,2,3,3,42,3,40,Black
1737482875,61,White,Black,2,1,5,4,40,2,4,3,40,3,39,2,2,4,2,38,2,3,3,0,3,39,Black
1737482875,62,Black,White,2,1,5,4,40,2,4,2,41,3,39,2,2,4,2,38,2,3,3,0,3,39,Black
1737482875,63,White,Black,0,1,5,4,38,1,4,2,37,3,37,2,2,4,2,36,2,3,3,0,3,37,Black
1737482875,64,Black,White,0,3,5,4,39,1,4,2,37,2,38,2,2,4,2,37,2,3,3,0,3,37,Black
1737482875,65,White,Black,0,3,5,4,38,1,4,3,37,2,37,2,2,4,2,36,2,3,3,0,3,36,Black
