wQ,wS1,wB1,wG1,wA1,wS2,wB2,wG2,wA2,wG3,wA3,bQ,bS1,bB1,bG1,bA1,bS2,bB2,bG2,bA2,bG3,bA3,result
2,2,6,5,36,0,4,2,35,4,33,2,2,6,4,34,1,4,1,35,1,36,1
2,2,6,2,35,0,3,1,37,2,39,0,1,6,2,37,2,6,1,35,3,0,1
